,mapped_veh_id,timestamps_utc,lat,lon,rs_e_inairtemp_pc1,rs_e_inairtemp_pc2,rs_e_oilpress_pc1,rs_e_oilpress_pc2,rs_e_rpm_pc1,rs_e_rpm_pc2,rs_e_wattemp_pc1,rs_e_wattemp_pc2,rs_t_oiltemp_pc1,rs_t_oiltemp_pc2,pg_point,utm_point,anomaly_id
0,170,2023-09-03 08:36:06,50.9606507,3.6279934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,58.0,0101000020E6100000ADD4586721060D4094B0259AF67A4940,0101000020777F0000E41A4C40CE9A2041F85B183651895541,train_stopped
1,192,2023-06-23 15:00:15,50.924372,3.787047,55.0,58.0,251.0,6.0,0.0,0.0,91.0,46.0,90.0,52.0,0101000020E6100000BD512B4CDF4B0E4047AB5AD251764940,0101000020777F000019F2264C68F2204180BA96717B855541,train_stopped
2,160,2023-04-18 15:20:02,51.1258389,3.6684945,55.0,55.0,6.0,0.0,0.0,0.0,58.0,73.0,61.0,76.0,0101000020E61000006D72F8A413590D404508347D1B904940,0101000020777F0000B981A788B9AF2041FC483DD1479B5541,train_stopped
3,160,2023-04-18 16:39:59,50.8238156,3.6123093,51.0,48.0,6.0,0.0,0.0,0.0,36.0,44.0,50.0,56.0,0101000020E6100000114B146B02E60C40A2F721CA72694940,0101000020777F0000E10261B12F932041C02DB0DD727A5541,train_stopped
4,192,2023-01-26 08:13:02,50.9611118,3.6279417,55.0,62.0,3.0,6.0,0.0,0.0,43.0,72.0,59.0,71.0,0101000020E61000006E5B4A4C06060D405C6622B6057B4940,0101000020777F00004851D81DC69A20419EE7B8055E895541,train_stopped
5,192,2023-01-26 08:14:01,50.9608,3.6279691,55.0,62.0,3.0,6.0,0.0,0.0,43.0,71.0,59.0,71.0,0101000020E61000003D30DBA914060D4097FF907EFB7A4940,0101000020777F0000927E2E8ECA9A20416428B85B55895541,train_stopped
6,185,2023-05-13 10:18:07,51.1687108,5.1655797,75.0,68.0,3.0,0.0,0.0,0.0,76.0,72.0,79.0,74.0,0101000020E6100000A68691B98DA91440B23DC45098954940,0101000020777F000009AE77E00CE12341CE7802F0E7A15541,train_stopped
7,151,2023-03-02 06:50:31,51.1394724,3.6403533,0.0,56.0,0.0,3.0,0.0,0.0,0.0,83.0,20.0,88.0,0101000020E6100000DE150B8D711F0D40EA584A3BDA914940,0101000020777F00001FAD7D943CA02041F8259777BE9C5541,train_stopped
8,140,2023-02-06 07:01:01,50.3186878,4.202298,13.0,0.0,17.0,0.0,0.0,0.0,11.0,0.0,16.0,92.0,0101000020E6100000512FF83427CF10402D5107C3CA284940,0101000020777F0000643F5737F2DE21412002540219445541,train_stopped
9,140,2023-02-06 10:59:00,50.3212749,4.2133696,11.0,32.0,17.0,0.0,0.0,0.0,10.0,81.0,17.0,87.0,0101000020E6100000A8D7778F7DDA1040494332891F294940,0101000020777F00004B0C8C3211E52141D00F6B1E64445541,train_stopped
10,140,2023-02-06 14:52:45,50.327478500000005,4.2310451,12.0,28.666666666666668,17.0,0.0,0.0,0.0,11.0,58.0,18.333333333333332,87.66666666666667,0101000020E6100000AD9A311697EC104053D2C3D0EA294940,0101000020777F0000D3D4F6DACEEE2141494BF0B815455541,train_stopped
11,169,2023-06-02 18:52:40,50.8165451,3.8257992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,87.0,0101000020E6100000F380689C3C9B0E40C21AC28C84684940,0101000020777F0000767A2F9BBB08214133FA0053CD795541,train_stopped
12,155,2023-06-02 18:53:20,50.8160233,3.8268656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,88.0,0101000020E6100000D57F31B66B9D0E401223957373684940,0101000020777F00002580FC255309214167E84607BF795541,train_stopped
13,151,2023-07-07 14:40:45,50.9339743,3.778843,69.0,0.0,3.0,0.0,0.0,0.0,81.0,0.0,84.0,92.0,0101000020E61000008CBFED09123B0E40FAE648788C774940,0101000020777F000052732D91D0ED2041ABD4F0DB84865541,train_stopped
14,151,2023-07-07 14:35:55,50.9335606,3.7789669,60.0,60.0,3.0,3.0,0.0,0.0,82.0,86.0,84.0,93.0,0101000020E6100000FF5481FF523B0E40C5EAEAE97E774940,0101000020777F0000506163F3E2ED20417E65976179865541,train_stopped
15,151,2023-07-07 14:44:48,50.9339731,3.7788386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,90.0,0101000020E61000003FE65EBB0F3B0E4000EC376E8C774940,0101000020777F0000C46D99F3CFED2041571331D384865541,train_stopped
16,160,2023-04-18 15:15:58,51.1526239,3.6188336,55.0,60.0,6.0,0.0,0.0,0.0,60.0,76.0,62.0,79.0,0101000020E6100000DB53CD075FF30C40438B112E89934940,0101000020777F000004156005619420419F621BE0289E5541,train_stopped
17,196,2023-06-12 16:00:10,50.3645309,4.3085299,66.0,67.0,690.0,3.0,0.0,0.0,83.0,84.0,84.0,84.0,0101000020E6100000445A1943EF3B1140D3F0D2F2A82E4940,0101000020777F000076B0C50C541922411C3EE12B33495541,train_stopped
18,153,2023-05-07 14:46:12,51.1562245,3.748322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,82.0,0101000020E6100000BC04A73E90FC0D40BF2A172AFF934940,0101000020777F00001FFDF33619DB2041E415B603A29E5541,train_stopped
19,140,2023-02-06 10:45:48,50.3569761,4.3103184,12.0,0.0,17.0,189.5,0.0,0.0,10.0,0.0,18.0,87.0,0101000020E610000060634D1BC43D1140107A9164B12D4940,0101000020777F0000DC4EE809701A2241E3CCE2BB61485541,train_stopped
20,173,2023-02-10 14:58:52,50.3212032,4.2130023,55.0,50.0,6.0,0.0,0.0,0.0,84.0,81.0,83.0,82.0,0101000020E610000021E461461DDA10406EAFBB2F1D294940,0101000020777F000074971A2ADDE4214116E3EE0462445541,train_stopped
21,173,2023-02-10 14:59:53,50.3211597,4.2129902,56.0,53.0,6.0,0.0,0.0,0.0,83.0,81.0,83.0,80.0,0101000020E610000058795D1A1ADA10408725D4C21B294940,0101000020777F0000A0367399DBE42141A8137ECE60445541,train_stopped
22,151,2023-07-07 14:37:47,50.9335496,3.7789729,66.0,66.0,3.0,3.0,0.0,0.0,81.0,86.0,85.0,93.0,0101000020E610000021C3CF24563B0E40D198A48D7E774940,0101000020777F0000093BDDD1E3ED2041F855971379865541,train_stopped
23,128,2023-08-19 18:43:24,51.0711047,5.2307337,32.0,57.0,6.0,3.0,0.0,0.0,31.0,99.0,43.0,111.0,0101000020E61000001E577E7445EC1440C38B74F519894940,0101000020777F0000DE160B1834072441898411D270975541,train_stopped
24,169,2023-06-02 18:56:40,50.8165655,3.8258176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,83.0,0101000020E61000008FB00342469B0E405DC5E23785684940,0101000020777F0000B029DA25BE08214195561CE5CD795541,train_stopped
25,151,2023-03-02 06:57:25,51.1392272,3.6408908,0.0,61.0,0.0,3.0,0.0,0.0,0.0,76.0,20.0,82.0,0101000020E61000004E75125B8B200D40595B6732D2914940,0101000020777F000023F28F4288A02041EB1E6DBBB79C5541,train_stopped
26,151,2023-03-02 06:48:31,51.1392321,3.6408873,0.0,52.0,0.0,3.0,0.0,0.0,0.0,84.0,20.0,87.0,0101000020E6100000BA5F4F8589200D40D606825BD2914940,0101000020777F00003042C4C287A02041F7E329DEB79C5541,train_stopped
27,173,2023-02-10 15:02:56,50.320506,4.2100318,61.0,59.0,6.0,0.0,0.0,0.0,82.0,80.0,81.0,78.0,0101000020E6100000E57A809312D71040FD15325706294940,0101000020777F0000565983C538E321419BD571C74D445541,train_stopped
28,140,2023-02-06 08:21:13,50.3479126,4.3063418,13.0,20.0,17.0,184.5,0.0,0.0,11.0,43.5,17.0,91.0,0101000020E6100000529731AAB1391140E46E6B66882C4940,0101000020777F0000F46432B45D1822413E58828E64475541,train_stopped
29,140,2023-02-06 17:20:21,50.343562,4.2821526,12.0,0.0,17.0,0.0,0.0,0.0,11.0,0.0,19.0,93.0,0101000020E6100000ECEC759CEC201140FD12F1D6F92B4940,0101000020777F000076FAC07BFC0A224144312624E4465541,train_stopped
30,140,2023-02-07 03:40:02,50.3318252,4.2362214,9.0,20.0,17.0,198.0,0.0,0.0,8.0,80.0,13.0,81.5,0101000020E61000001A76CE05E4F110408CFE863F792A4940,0101000020777F000014073DA89FF121415D41831290455541,train_stopped
31,192,2023-01-26 08:41:10,50.8170049,3.6155037,52.0,63.0,3.0,6.0,0.0,0.0,36.0,58.0,54.0,62.0,0101000020E6100000358930348DEC0C40FC15D79D93684940,0101000020777F00002C9DF04BFE942041CB8752FFB5795541,train_stopped
32,140,2023-05-12 15:57:40,50.4582185,4.2476581,40.0,38.0,24.0,6.0,0.0,0.0,87.0,79.0,87.0,79.0,0101000020E6100000A55BC0159AFD10400AF65FE7A63A4940,0101000020777F00002759F8EA23F62141D486A2CC4C535541,train_stopped
