mapped_veh_id,num_occurrences
102,526
103,140
104,166
105,209
106,535
107,54
108,982
109,588
110,900
111,293
112,557
113,147
114,3864
115,690
116,944
117,1828
119,768
120,92
121,480
122,1236
123,647
124,435
125,1242
126,379
127,51
128,4795
129,34
130,696
131,494
133,308
134,749
135,988
136,1132
137,1409
138,1191
139,990
140,656
141,702
142,1135
143,693
144,51
145,903
146,980
147,748
148,319
149,538
150,1826
151,808
152,729
153,687
154,1299
155,157
156,463
157,998
158,184
159,529
160,367
161,481
162,1719
163,537
164,1625
165,550
166,685
167,536
168,855
169,580
170,1972
171,522
172,1660
173,599
174,510
175,1394
176,565
177,1835
178,1305
179,321
180,1102
181,2505
182,333
183,479
184,499
185,541
186,1263
187,1094
188,217
189,621
190,1000
191,2333
192,1434
194,647
196,437
197,379
