,mapped_veh_id,timestamps_utc,lat,lon,rs_e_inairtemp_pc1,rs_e_inairtemp_pc2,rs_e_oilpress_pc1,rs_e_oilpress_pc2,rs_e_rpm_pc1,rs_e_rpm_pc2,rs_e_wattemp_pc1,rs_e_wattemp_pc2,rs_t_oiltemp_pc1,rs_t_oiltemp_pc2,pg_point,utm_point,anomaly id
68,102,2023-05-19 01:37:50,50.855865,3.607164,10.0,8.0,596.0,569.0,801.0,802.0,17.0,18.0,16.0,14.0,0101000020E6100000E6779ACC78DB0C404165FCFB8C6D4940,0101000020777F0000D57C3F502090204156C66216ED7D5541,iso results
179,102,2023-04-22 03:33:15,51.0160099,3.7740372,6.0,8.0,562.0,583.0,802.0,801.0,20.0,18.0,14.0,16.0,0101000020E61000006B195F6A3A310E40C474C69C0C824940,0101000020777F00009EC8B1AF6DEA20414F8AD4956C8F5541,iso results
203,102,2023-04-22 03:32:14,51.0160273,3.7740699,6.0,8.0,565.0,610.0,788.0,801.0,16.0,16.0,13.0,14.0,0101000020E61000003F8B4A8F4B310E40EDABBC2E0D824940,0101000020777F000084C5AB3B72EA20414DD934136D8F5541,iso results
300,102,2023-03-27 02:28:47,50.7744281,3.872819,4.0,5.0,558.0,565.0,797.0,799.0,25.0,21.0,8.0,8.0,0101000020E6100000909E228788FB0E403D4DC17520634940,0101000020777F0000DC1699BE0A232141CF7AF10344755541,iso results
345,102,2023-03-27 02:26:51,50.7740737,3.8726527,4.0,4.0,576.0,589.0,799.0,800.0,21.0,17.0,15.0,6.0,0101000020E6100000F920BA5631FB0E40CC18D5D814634940,0101000020777F0000E5724239F42221413EE9F6203A755541,iso results
451,102,2023-02-06 00:06:06,50.8553621,3.6062971,3.0,4.0,583.0,603.5,799.0,801.0,11.0,11.0,3.0,5.0,0101000020E6100000F246414BB2D90C4073DE5A817C6D4940,0101000020777F00002BEF3832A78F20418C2D48FBDE7D5541,iso results
549,102,2023-01-25 09:16:48,51.0165119,3.7726647,6.0,3.0,576.0,610.0,800.0,813.0,27.0,15.0,19.0,13.0,0101000020E610000070308AD46A2E0E40563FDB0F1D824940,0101000020777F0000FF6C63F8ABE9204139DBE0497A8F5541,iso results
571,102,2023-04-03 08:54:52,51.01427,3.7791292,5.0,5.0,572.0,589.0,802.0,801.0,21.0,16.0,11.0,9.0,0101000020E610000080DE0A17A83B0E402FA86F99D3814940,0101000020777F0000BF59DA1F3CED20412E9CF2273D8F5541,iso results
629,102,2023-04-03 08:53:53,51.0142703,3.7791433,5.0,5.0,576.0,607.0,800.0,797.0,16.0,13.0,10.0,8.0,0101000020E61000001D2E837BAF3B0E40EDE6F39BD3814940,0101000020777F00005B5C131A3EED20410F7DC02A3D8F5541,iso results
685,102,2023-03-11 09:10:00,50.8567127,3.6081022,2.0,3.0,548.0,552.0,799.0,798.0,29.0,24.0,5.0,6.0,0101000020E61000005501ADAF64DD0C40B04802C3A86D4940,0101000020777F0000761775D5A2902041DDFB0BCA047E5541,iso results
885,102,2023-03-27 02:22:50,50.7740202,3.8727013,4.0,4.0,624.0,603.0,799.0,795.0,8.0,7.0,17.0,5.0,0101000020E6100000DA69B5D14AFB0E40C1B80A1813634940,0101000020777F0000D7CBAB37FB222141066ED0A638755541,iso results
1016,102,2023-02-08 03:40:46,50.7740964,3.8731011,1.0,3.0,583.0,572.0,803.0,799.0,21.0,21.0,16.0,17.0,0101000020E610000021D0F46D1CFC0E40C5F9409715634940,0101000020777F00005D4E546533232141468864DA3A755541,iso results
1123,102,2023-02-27 05:40:39,51.0139644,3.778878,1.0,1.0,586.0,520.0,799.0,803.0,18.0,33.0,9.0,19.0,0101000020E610000053978C63243B0E4075A7E095C9814940,0101000020777F0000B49FD69919ED20413BDB189D348F5541,iso results
1236,102,2023-07-08 14:16:32,51.0133074,3.7805483,25.0,26.0,572.0,589.0,1082.0,1085.0,33.0,33.0,28.0,30.0,0101000020E610000051966B1B903E0E40BCE58F0EB4814940,0101000020777F00002BB4647B05EE20414CE39AA8228F5541,iso results
1358,102,2023-04-03 08:54:37,51.0144462,3.7785407,5.0,6.0,586.0,583.0,799.0,798.0,20.0,15.0,9.0,9.0,0101000020E6100000EFD6E88B733A0E409746825FD9814940,0101000020777F00007A22D625E9EC20411B4008F2418F5541,iso results
1565,102,2023-03-27 22:09:19,50.7745219,3.8730284000000004,3.6666666666666665,5.0,17.0,42.333333333333336,43.333333333333336,100.33333333333333,26.333333333333332,27.333333333333332,76.66666666666667,82.0,0101000020E61000006BD55350F6FB0E4095449B8823634940,0101000020777F00005E99E10628232141092AA2AA46755541,iso results
1577,102,2023-03-20 00:26:35,50.8548568,3.6058138,5.0,6.0,558.0,593.0,800.0,801.0,25.0,18.0,10.0,8.0,0101000020E610000050B9D3E7B4D80C40B16197F26B6D4940,0101000020777F000011FFF814648F20416E5F4FDDD07D5541,iso results
1588,102,2023-03-27 22:09:18,50.774093099999995,3.8729014,3.6666666666666665,5.0,17.0,42.333333333333336,48.0,108.0,26.333333333333332,27.333333333333332,76.33333333333333,81.66666666666667,0101000020E6100000980FADBAB3FB0E409547927B15634940,0101000020777F00008575573E17232141D74345B83A755541,iso results
