support,itemsets
0.7518396259846205,frozenset({'25-45°C air'})
0.7294118938035518,frozenset({'Medium RPM'})
0.7132483897952139,frozenset({'80-95°C water'})
0.6285241480235075,frozenset({'80-95°C oil'})
0.6261656800027919,"frozenset({'80-95°C water', '25-45°C air'})"
0.6002809052159555,"frozenset({'80-95°C water', '80-95°C oil'})"
0.5630583339032097,"frozenset({'80-95°C oil', '25-45°C air'})"
0.5497967591766924,frozenset({'<80°C oil'})
0.5437926661350837,"frozenset({'80-95°C water', '80-95°C oil', '25-45°C air'})"
0.5299687945313136,"frozenset({'Medium RPM', '25-45°C air'})"
0.4828446848464866,"frozenset({'Medium RPM', '80-95°C water'})"
0.4642100950644294,"frozenset({'Medium RPM', '<80°C oil'})"
0.4558797185834508,frozenset({'60-80°C water'})
0.42382172615355845,"frozenset({'Medium RPM', '25-45°C air', '80-95°C water'})"
0.40189118636269716,"frozenset({'Medium RPM', '80-95°C oil'})"
0.3932381156170845,"frozenset({'<80°C oil', '60-80°C water'})"
0.3880659572370425,"frozenset({'Medium RPM', '60-80°C water'})"
0.3817154698612324,"frozenset({'Medium RPM', '80-95°C water', '80-95°C oil'})"
0.3658235833566233,frozenset({'<25°C air'})
0.3658226217786218,"frozenset({'Medium RPM', '25-45°C air', '80-95°C oil'})"
0.3504616960210977,"frozenset({'Medium RPM', '80-95°C water', '25-45°C air', '80-95°C oil'})"
0.3437391910855158,"frozenset({'Medium RPM', '<80°C oil', '60-80°C water'})"
0.33746229270852934,"frozenset({'<80°C oil', '25-45°C air'})"
0.31331243089011634,"frozenset({'Medium RPM', '<25°C air'})"
0.30883260867118234,"frozenset({'<80°C oil', '<25°C air'})"
0.29391525318942696,"frozenset({'60-80°C water', '25-45°C air'})"
0.2806039592238889,"frozenset({'Medium RPM', '<80°C oil', '25-45°C air'})"
0.27717621646546214,"frozenset({'Medium RPM', '<80°C oil', '<25°C air'})"
0.26965164234977307,"frozenset({'<80°C oil', '80-95°C water'})"
0.2463545305284895,"frozenset({'Medium RPM', '60-80°C water', '25-45°C air'})"
0.24507105015008254,"frozenset({'<25°C air', '60-80°C water'})"
0.23815560741666245,"frozenset({'<80°C oil', '60-80°C water', '25-45°C air'})"
0.22785133755217196,"frozenset({'<80°C oil', '<25°C air', '60-80°C water'})"
0.22406684935517426,"frozenset({'60-80°C water', '80-95°C water'})"
0.22300481473418052,"frozenset({'Medium RPM', '<25°C air', '60-80°C water'})"
0.22189634155205365,"frozenset({'Medium RPM', '<80°C oil', '80-95°C water'})"
0.21628638236425218,"frozenset({'80-95°C water', '<80°C oil', '25-45°C air'})"
0.210268431286739,"frozenset({'Medium RPM', '<80°C oil', '<25°C air', '60-80°C water'})"
0.20656816600999373,"frozenset({'Medium RPM', '<80°C oil', '60-80°C water', '25-45°C air'})"
0.1985232085052366,frozenset({'Very High RPM'})
0.1890111092237786,"frozenset({'Very High RPM', '80-95°C water'})"
0.18490924372286122,"frozenset({'Very High RPM', '80-95°C oil'})"
0.1814619865873444,"frozenset({'80-95°C water', 'Very High RPM', '80-95°C oil'})"
0.18140881698020048,"frozenset({'80-95°C water', '60-80°C water', '25-45°C air'})"
0.1813576270924715,"frozenset({'Medium RPM', '60-80°C water', '80-95°C water'})"
0.1806000167540826,"frozenset({'<80°C oil', '80-95°C oil'})"
0.17813730236531786,"frozenset({'60-80°C water', '80-95°C oil'})"
0.17784882896485618,"frozenset({'Medium RPM', '80-95°C water', '<80°C oil', '25-45°C air'})"
0.1755248646253723,"frozenset({'Very High RPM', '25-45°C air'})"
0.16953185801248727,"frozenset({'80-95°C water', 'Very High RPM', '25-45°C air'})"
0.16702796545989193,"frozenset({'<80°C oil', '60-80°C water', '80-95°C water'})"
0.1658676236290938,"frozenset({'80-95°C oil', 'Very High RPM', '25-45°C air'})"
0.1632913864727356,"frozenset({'80-95°C water', '80-95°C oil', 'Very High RPM', '25-45°C air'})"
0.1599037471733142,"frozenset({'<25°C air', '80-95°C water'})"
0.15887910096755675,"frozenset({'80-95°C water', '<80°C oil', '80-95°C oil'})"
0.1518811322162399,"frozenset({'80-95°C water', '60-80°C water', '80-95°C oil'})"
0.15071762283437787,"frozenset({'<80°C oil', '80-95°C oil', '25-45°C air'})"
0.14991006700332077,"frozenset({'80-95°C oil', '60-80°C water', '25-45°C air'})"
0.14688013472047182,"frozenset({'Medium RPM', '25-45°C air', '60-80°C water', '80-95°C water'})"
