id,lat,lon
97,51.31,4.361
98,51.31,4.461
128,51.21,3.561
136,51.21,4.361
137,51.21,4.461
139,51.21,4.661
140,51.21,4.761
141,51.21,4.861
142,51.21,4.961
143,51.21,5.061
144,51.21,5.161
145,51.21,5.261
146,51.21,5.361
147,51.21,5.461
148,51.21,5.561
167,51.11,3.561
168,51.11,3.661
169,51.11,3.761
170,51.11,3.861
171,51.11,3.961
176,51.11,4.461
177,51.11,4.561
178,51.11,4.661
183,51.11,5.161
184,51.11,5.261
207,51.01,3.661
208,51.01,3.761
209,51.01,3.861
210,51.01,3.961
211,51.01,4.061
218,51.01,4.761
219,51.01,4.861
220,51.01,4.961
221,51.01,5.061
222,51.01,5.161
223,51.01,5.261
224,51.01,5.361
246,50.91,3.661
247,50.91,3.761
248,50.91,3.861
249,50.91,3.961
250,50.91,4.061
251,50.91,4.161
252,50.91,4.261
253,50.91,4.361
254,50.91,4.461
255,50.91,4.561
256,50.91,4.661
257,50.91,4.761
262,50.91,5.261
263,50.91,5.361
284,50.81,3.561
285,50.81,3.661
286,50.81,3.761
287,50.81,3.861
288,50.81,3.961
289,50.81,4.061
292,50.81,4.361
296,50.81,4.761
297,50.81,4.861
298,50.81,4.961
299,50.81,5.061
300,50.81,5.161
323,50.71,3.561
324,50.71,3.661
327,50.71,3.961
328,50.71,4.061
331,50.71,4.361
333,50.71,4.561
338,50.71,5.061
370,50.61,4.361
372,50.61,4.561
373,50.61,4.661
405,50.51,3.961
406,50.51,4.061
407,50.51,4.161
408,50.51,4.261
409,50.51,4.361
412,50.51,4.661
414,50.51,4.861
444,50.41,3.961
447,50.41,4.261
448,50.41,4.361
449,50.41,4.461
450,50.41,4.561
451,50.41,4.661
452,50.41,4.761
453,50.41,4.861
484,50.31,4.061
485,50.31,4.161
486,50.31,4.261
487,50.31,4.361
488,50.31,4.461
492,50.31,4.861
527,50.21,4.461
528,50.21,4.561
532,50.21,4.961
566,50.11,4.461
567,50.11,4.561
571,50.11,4.961
605,50.01,4.461
610,50.01,4.961
